salesdate,kind,sales,Adjusted
7-1-2016,Retail sales and food services excl motor vehicle and parts,362111,N
8-1-2016,Retail sales and food services excl motor vehicle and parts,367377,N
9-1-2016,Retail sales and food services excl motor vehicle and parts,352800,N
10-1-2016,Retail sales and food services excl motor vehicle and parts,360140,N
11-1-2016,Retail sales and food services excl motor vehicle and parts,376891,N
12-1-2016,Retail sales and food services excl motor vehicle and parts,438631,N
1-1-2016,Retail sales and food services excl gasoline stations,370863,N
2-1-2016,Retail sales and food services excl gasoline stations,386106,N
3-1-2016,Retail sales and food services excl gasoline stations,427324,N
4-1-2016,Retail sales and food services excl gasoline stations,415844,N
5-1-2016,Retail sales and food services excl gasoline stations,431308,N
6-1-2016,Retail sales and food services excl gasoline stations,424659,N
7-1-2016,Retail sales and food services excl gasoline stations,422252,N
8-1-2016,Retail sales and food services excl gasoline stations,432935,N
9-1-2016,Retail sales and food services excl gasoline stations,410592,N
10-1-2016,Retail sales and food services excl gasoline stations,414177,N
11-1-2016,Retail sales and food services excl gasoline stations,431420,N
12-1-2016,Retail sales and food services excl gasoline stations,502513,N
1-1-2016,Retail sales and food services excl motor vehicle and parts and gasoline stations,289965,N
2-1-2016,Retail sales and food services excl motor vehicle and parts and gasoline stations,295893,N
3-1-2016,Retail sales and food services excl motor vehicle and parts and gasoline stations,326116,N
4-1-2016,Retail sales and food services excl motor vehicle and parts and gasoline stations,318106,N
5-1-2016,Retail sales and food services excl motor vehicle and parts and gasoline stations,332348,N
6-1-2016,Retail sales and food services excl motor vehicle and parts and gasoline stations,326073,N
7-1-2016,Retail sales and food services excl motor vehicle and parts and gasoline stations,322359,N
8-1-2016,Retail sales and food services excl motor vehicle and parts and gasoline stations,328622,N
9-1-2016,Retail sales and food services excl motor vehicle and parts and gasoline stations,314876,N
10-1-2016,Retail sales and food services excl motor vehicle and parts and gasoline stations,321162,N
11-1-2016,Retail sales and food services excl motor vehicle and parts and gasoline stations,341079,N
12-1-2016,Retail sales and food services excl motor vehicle and parts and gasoline stations,401477,N
1-1-2016,"Retail sales, total",351890,N
2-1-2016,"Retail sales, total",363622,N
3-1-2016,"Retail sales, total",405050,N
4-1-2016,"Retail sales, total",394766,N
5-1-2016,"Retail sales, total",413047,N
6-1-2016,"Retail sales, total",410045,N
7-1-2016,"Retail sales, total",405935,N
8-1-2016,"Retail sales, total",416449,N
9-1-2016,"Retail sales, total",394147,N
10-1-2016,"Retail sales, total",397337,N
11-1-2016,"Retail sales, total",413872,N
12-1-2016,"Retail sales, total",482053,N
1-1-2016,"Retail sales, total (excl. motor vehicle and parts dealers)",270992,N
2-1-2016,"Retail sales, total (excl. motor vehicle and parts dealers)",273409,N
3-1-2016,"Retail sales, total (excl. motor vehicle and parts dealers)",303842,N
4-1-2016,"Retail sales, total (excl. motor vehicle and parts dealers)",297028,N
5-1-2016,"Retail sales, total (excl. motor vehicle and parts dealers)",314087,N
6-1-2016,"Retail sales, total (excl. motor vehicle and parts dealers)",311459,N
7-1-2016,"Retail sales, total (excl. motor vehicle and parts dealers)",306042,N
8-1-2016,"Retail sales, total (excl. motor vehicle and parts dealers)",312136,N
9-1-2016,"Retail sales, total (excl. motor vehicle and parts dealers)",298431,N
10-1-2016,"Retail sales, total (excl. motor vehicle and parts dealers)",304322,N
11-1-2016,"Retail sales, total (excl. motor vehicle and parts dealers)",323531,N
12-1-2016,"Retail sales, total (excl. motor vehicle and parts dealers)",381017,N
1-1-2016,GAFO(1),89674,N
2-1-2016,GAFO(1),94702,N
3-1-2016,GAFO(1),104199,N
4-1-2016,GAFO(1),98659,N
5-1-2016,GAFO(1),103979,N
6-1-2016,GAFO(1),102162,N
7-1-2016,GAFO(1),102899,N
8-1-2016,GAFO(1),107380,N
9-1-2016,GAFO(1),98485,N
10-1-2016,GAFO(1),101847,N
11-1-2016,GAFO(1),114768,N
12-1-2016,GAFO(1),148877,N
1-1-2015,"Retail and food services sales, total",398555,N
2-1-2015,"Retail and food services sales, total",388766,N
3-1-2015,"Retail and food services sales, total",446581,N
4-1-2015,"Retail and food services sales, total",439993,N
5-1-2015,"Retail and food services sales, total",465244,N
6-1-2015,"Retail and food services sales, total",450172,N
7-1-2015,"Retail and food services sales, total",459960,N
8-1-2015,"Retail and food services sales, total",458313,N
9-1-2015,"Retail and food services sales, total",432898,N
10-1-2015,"Retail and food services sales, total",446746,N
11-1-2015,"Retail and food services sales, total",446334,N
12-1-2015,"Retail and food services sales, total",518656,N
1-1-2015,Retail sales and food services excl motor vehicle and parts,319532,N
2-1-2015,Retail sales and food services excl motor vehicle and parts,308588,N
3-1-2015,Retail sales and food services excl motor vehicle and parts,349376,N
4-1-2015,Retail sales and food services excl motor vehicle and parts,345534,N
5-1-2015,Retail sales and food services excl motor vehicle and parts,366995,N
6-1-2015,Retail sales and food services excl motor vehicle and parts,354741,N
7-1-2015,Retail sales and food services excl motor vehicle and parts,361299,N
8-1-2015,Retail sales and food services excl motor vehicle and parts,359485,N
9-1-2015,Retail sales and food services excl motor vehicle and parts,341246,N
10-1-2015,Retail sales and food services excl motor vehicle and parts,355452,N
11-1-2015,Retail sales and food services excl motor vehicle and parts,361409,N
12-1-2015,Retail sales and food services excl motor vehicle and parts,424623,N
1-1-2015,Retail sales and food services excl gasoline stations,365413,N
2-1-2015,Retail sales and food services excl gasoline stations,356478,N
3-1-2015,Retail sales and food services excl gasoline stations,408972,N
4-1-2015,Retail sales and food services excl gasoline stations,402048,N
5-1-2015,Retail sales and food services excl gasoline stations,422991,N
6-1-2015,Retail sales and food services excl gasoline stations,407293,N
7-1-2015,Retail sales and food services excl gasoline stations,415960,N
8-1-2015,Retail sales and food services excl gasoline stations,416260,N
9-1-2015,Retail sales and food services excl gasoline stations,395206,N
10-1-2015,Retail sales and food services excl gasoline stations,408608,N
11-1-2015,Retail sales and food services excl gasoline stations,412260,N
12-1-2015,Retail sales and food services excl gasoline stations,484982,N
1-1-2015,Retail sales and food services excl motor vehicle and parts and gasoline stations,286390,N
2-1-2015,Retail sales and food services excl motor vehicle and parts and gasoline stations,276300,N
3-1-2015,Retail sales and food services excl motor vehicle and parts and gasoline stations,311767,N
4-1-2015,Retail sales and food services excl motor vehicle and parts and gasoline stations,307589,N
5-1-2015,Retail sales and food services excl motor vehicle and parts and gasoline stations,324742,N
6-1-2015,Retail sales and food services excl motor vehicle and parts and gasoline stations,311862,N
7-1-2015,Retail sales and food services excl motor vehicle and parts and gasoline stations,317299,N
8-1-2015,Retail sales and food services excl motor vehicle and parts and gasoline stations,317432,N
9-1-2015,Retail sales and food services excl motor vehicle and parts and gasoline stations,303554,N
